Plot,Year,Tree,Browsed,New,SummerBrowse,Height,CAG,DBH,LASER
2,2007,1,1,,,87,48,,
2,2007,2,1,,,84,55,,
2,2007,3,1,,,82,64,,
2,2007,4,1,,,86,70,,
2,2007,5,0,,,85,51,,
3,2007,1,1,,,220,78,,
3,2007,2,1,,,217,75,,
3,2007,3,1,,,225,123,,
3,2007,4,0,,,224,42,,
3,2007,5,0,,,245,47,,
4,2007,1,0,,,279,77,,
4,2007,2,0,,,380,70,,
4,2007,3,0,,,450,130,,
4,2007,4,0,,,360,55,,
4,2007,5,0,,,255,57,,
5,2007,1,0,,,350,,,
5,2007,2,0,,,350,,,
5,2007,3,0,,,350,,,
5,2007,4,0,,,350,,,
5,2007,5,0,,,350,,,
7,2007,0,,,,0,,,
8,2007,1,1,,,75,35,,
8,2007,2,1,,,89,18,,
8,2007,3,1,,,85,12,,
8,2007,4,1,,,89,45,,
8,2007,5,1,,,80,50,,
9,2007,1,1,,,92,44,,
9,2007,2,0,,,81,30,,
9,2007,3,0,,,106,12,,
9,2007,4,0,,,86,9,,
9,2007,5,0,,,68,25,,
10,2007,1,1,,,52,26,,
10,2007,2,1,,,54,26,,
10,2007,3,1,,,70,41,,
10,2007,4,1,,,53,37,,
10,2007,5,1,,,65,40,,
16,2007,1,1,,,25,12,,
16,2007,2,1,,,35,17,,
16,2007,3,1,,,22,14,,
16,2007,4,1,,,15,8,,
17,2007,1,1,,,103,65,,
17,2007,2,1,,,92,53,,
17,2007,3,1,,,92,51,,
17,2007,4,1,,,90,40,,
17,2007,5,1,,,95,54,,
18,2007,1,1,,,80,55,,
18,2007,2,1,,,36,16,,
18,2007,3,1,,,34,30,,
18,2007,4,0,,,38,,,
18,2007,5,0,,,31,,,
19,2007,1,1,,,27,8,,
19,2007,2,1,,,23,6,,
19,2007,3,1,,,22,4,,
19,2007,4,1,,,25,9,,
19,2007,5,0,,,36,,,
20,2007,1,1,,,85,64,,
20,2007,2,1,,,91,75,,
20,2007,3,1,,,119,84,,
20,2007,4,1,,,134,95,,
20,2007,5,1,,,114,76,,
21,2007,1,1,,,102,47,,
21,2007,2,1,,,110,75,,
21,2007,3,1,,,109,74,,
21,2007,4,1,,,143,100,,
21,2007,5,1,,,121,77,,
22,2007,1,1,,,67,39,,
22,2007,2,1,,,61,37,,
22,2007,3,1,,,65,58,,
22,2007,4,1,,,62,47,,
22,2007,5,1,,,56,42,,
27,2007,1,1,,,90,48,,
27,2007,2,1,,,100,77,,
27,2007,3,1,,,93,75,,
27,2007,4,1,,,110,78,,
27,2007,5,1,,,112,65,,
28,2007,1,1,,,225,10,,
28,2007,2,1,,,180,45,,
28,2007,3,1,,,180,,,
28,2007,4,1,,,178,45,,
28,2007,5,0,,,180,65,,
39,2007,1,1,,,126,100,,
39,2007,2,1,,,180,140,,
39,2007,3,1,,,140,91,,
39,2007,4,1,,,160,83,,
39,2007,5,0,,,137,97,,
40,2007,1,1,,,220,85,,
40,2007,2,1,,,225,112,,
40,2007,3,1,,,213,85,,
40,2007,4,1,,,225,100,,
40,2007,5,1,,,245,86,,
