height,cag,dbh
73,,
34,,
55,,
18,,
41,,
21,,
37,,
44,,
34,,
39,,
47,,
19,,
44,,
45,,
46,,
51,,
52,,
52,,
41,,
40,,
66,,
58,,
72,,
55,,
61,,
51,,
55,,
80,,
55,,
62,,
37,,
65,,
43,,
67,,
47,,
41,,
65,,
32,,
20,,
36,,
41,,
26,,
51,,
34,,
43,,
31,,
19,,
32,,
25,,
43,,
39,,
29,,
56,,
37,,
32,,
45,,
39,,
19,,
45,,
25,,
15,,
35,,
35,,
32,,
24,,
31,,
25,,
43,,
30,,
37,,
37,,
25,,
38,,
35,,
38,,
43,,
44,,
48,,
34,,
34,,
42,,
41,,
22,,
41,,
31,,
26,,
26,,
25,,
41,,
29,,
20,,
31,,
34,,
35,,
27,,
26,,
15,,
29,,
23,,
18,,
18,,
24,,
23,,
25,,
21,,
34,,
24,,
42,,
48,,
19,,
22,,
32,,
15,,
40,,
36,,
18,,
34,,
38,,
43,,
44,,
37,,
40,,
66,,
45,,
43,,
29,,
76,,
43,,
16,,
49,,
65,,
47,,
52,,
29,,
44,,
41,,
36,,
43,,
70,,
29,,
32,,
33,,
56,,
22,,
51,,
73,,
37,,
71,,
64,,
33,,
63,,
61,,
66,,
75,,
92,,
106,,
60,,
65,,
55,,
47,,
53,,
76,,
70,,
103,,
60,,
93,,
60,,
95,,
62,,
90,,
56,,
73,,
74,,
81,,
106,,
92,,
52,,
90,,
100,,
103,,
76,,
105,,
99,,
100,,
104,,
102,,
90,,
112,,
81,,
75,,
60,,
99,,
122,,
126,,
154,,
123,,
129,,
147,,
127,,
64,,
117,,
130,,
95,,
119,,
100,,
107,,
55,,
112,,
74,,
109,,
108,,
55,,
68,,
38,,
59,,
54,,
26,,
32,,
47,,
130,,
80,,
118,,
42,,
40,,
60,,
51,,
29,,
22,,
20,,
44,,
41,,
24,,
34,,
25,,
21,,
53,,
37,,
35,,
51,,
40,,
36,,
46,,
41,,
65,,
34,,
23,,
67,,
36,,
40,,
22,,
52,,
25,,
19,,
24,,
44,,
32,,
48,,
35,,
21,,
24,,
17,,
30,,
23,,
38,,
24,,
13,,
36,,
35,,
15,,
37,,
18,,
11,,
18,,
18,,
22,,
44,,
43,,
34,,
22,,
26,,
45,,
29,,
64,,
37,,
,,
36,,
32,,
44,,
61,,
65,,
58,,
60,,
58,,
34,,
40,,
52,,
29,,
29,,
72,,
36,,
25,,
17,,
36,,
58,,
19,,
18,,
29,,
26,,
40,,
29,,
26,,
49,,
27,,
29,,
45,,
34,,
55,,
23,,
24,,
55,,
18,,
19,,
10,,
14,,
49,,
21,,
22,,
48,,
20,,
24,,
18,,
73,,
47,,
56,,
27,,
59,,
80,,
41,,
44,,
31,,
28,,
39,,
37,,
61,,
29,,
83,,
49,,
65,,
48,,
41,,
30,,
55,,
55,,
56,,
72,,
46,,
27,,
54,,
29,,
50,,
45,,
44,,
35,,
38,,
27,,
39,,
24,,
19,,
37,,
57,,
29,,
28,,
33,,
58,,
41,,
52,,
58,,
49,,
35,,
67,,
13,,
23,,
47,,
42,,
59,,
35,,
25,,
48,,
47,,
74,,
59,,
40,,
61,,
40,,
55,,
56,,
72,,
59,,
77,,
44,,
17,,
12,,
15,,
35,,
28,,
78,,
42,,
67,,
77,,
53,,
41,,
29,,
51,,
45,,
40,,
41,,
58,,
39,,
32,,
44,,
71,,
59,,
41,,
42,,
52,,
40,,
56,,
39,,
57,,
48,,
11,,
62,,
57,,
36,,
25,,
30,,
35,,
63,,
34,,
48,,
40,,
27,,
38,,
49,,
39,,
7,,
84,,
45,,
57,,
44,,
43,,
35,,
39,,
40,,
47,,
57,,
64,,
29,,
41,,
35,,
41,,
14,,
6,,
18,,
56,,
41,,
14,,
23,,
22,,
5,,
7,,
11,,
13,,
14,,
17,,
27,,
29,,
30,,
38,,
31,,
40,,
20,,
12,,
9,,
4,,
10,,
22,,
45,,
13,,
35,,
38,,
15,,
14,,
20,,
9,,
14,,
14,,
13,,
13,,
7,,
39,,
37,,
55,,
48,,
32,,
31,,
66,,
39,,
58,,
65,,
20,,
43,,
15,,
48,,
21,,
33,,
36,,
19,,
33,,
27,,
26,,
24,,
22,,
21,,
28,,
34,,
36,,
33,,
73,,
14,,
17,,
17,,
24,,
13,,
23,,
22,,
25,,
21,,
39,,
47,,
31,,
42,,
42,,
39,,
26,,
18,,
33,,
36,,
32,,
26,,
15,,
14,,
23,,
33,,
32,,
36,,
25,,
11,,
39,,
40,,
35,,
25,,
29,,
48,,
34,,
35,,
32,,
47,,
62,,
27,,
25,,
38,,
29,,
27,,
42,,
35,,
34,,
52,,
51,,
32,,
51,,
58,,
35,,
38,,
22,,
41,,
38,,
57,,
50,,
32,,
62,,
22,,
25,,
47,,
38,,
23,,
33,,
45,,
10,,
20,,
7,,
41,,
32,,
20,,
30,,
17,,
19,,
41,,
40,,
25,,
25,,
39,,
35,,
42,,
31,,
44,,
27,,
42,,
40,,
38,,
41,,
32,,
40,,
54,,
40,,
67,,
42,,
57,,
57,,
78,,
98,,
24,,
79,,
35,,
42,,
39,,
42,,
51,,
40,,
60,,
48,,
52,,
43,,
52,,
40,,
46,,
33,,
28,,
32,,
37,,
36,,
46,,
23,,
46,,
44,,
35,,
58,,
40,,
38,,
39,,
30,,
26,,
36,,
20,,
30,,
9,,
29,,
23,,
25,,
35,,
30,,
29,,
31,,
21,,
17,,
22,,
23,,
32,,
25,,
28,,
32,,
26,,
35,,
25,,
29,,
24,,
20,,
15,,
41,,
23,,
26,,
46,,
61,,
77,,
42,,
27,,
38,,
56,,
40,,
47,,
15,,
10,,
25,,
22,,
21,,
17,,
34,,
28,,
33,,
32,,
37,,
44,,
35,,
63,,
39,,
36,,
32,,
54,,
40,,
56,,
36,,
27,,
46,,
64,,
32,,
54,,
35,,
22,,
38,,
37,,
44,,
42,,
39,,
40,,
38,,
44,,
28,,
67,,
52,,
25,,
39,,
56,,
27,,
28,,
71,,
24,,
50,,
41,,
28,,
53,,
35,,
21,,
24,,
27,,
29,,
49,,
59,,
23,,
22,,
32,,
25,,
34,,
63,,
43,,
37,,
42,,
27,,
25,,
34,,
19,,
20,,
22,,
38,,
39,,
46,,
23,,
27,,
17,,
27,,
50,,
31,,
60,,
22,,
23,,
22,,
26,,
25,,
22,,
22,,
38,,
57,,
77,,
58,,
67,,
70,,
33,,
35,,
33,,
36,,
42,,
38,,
44,,
49,,
52,,
52,,
45,,
38,,
44,,
80,,
40,,
35,,
45,,
24,,
38,,
45,,
44,,
44,,
37,,
69,,
49,,
43,,
36,,
38,,
67,,
32,,
29,,
27,,
25,,
42,,
28,,
21,,
39,,
29,,
45,,
32,,
28,,
34,,
55,,
24,,
36,,
31,,
40,,
38,,
29,,
53,,
33,,
30,,
29,,
30,,
29,,
10,,
47,,
44,,
92,,
78,,
82,,
45,,
66,,
50,,
85,,
62,,
70,,
77,,
59,,
58,,
64,,
78,,
73,,
52,,
41,,
107,,
62,,
97,,
69,,
57,,
39,,
32,,
88,,
21,,
22,,
22,,
17,,
50,,
71,,
48,,
39,,
33,,
52,,
25,,
38,,
17,,
13,,
14,,
39,,
64,,
52,,
50,,
30,,
36,,
37,,
28,,
42,,
47,,
57,,
49,,
73,,
25,,
28,,
30,,
37,,
52,,
37,,
30,,
38,,
48,,
49,,
25,,
37,,
41,,
18,,
50,,
60,,
44,,
45,,
71,,
45,,
50,,
47,,
42,,
56,,
33,,
29,,
54,,
30,,
38,,
42,,
36,,
11,,
35,,
55,,
40,,
59,,
73,,
62,,
25,,
25,,
20,,
15,,
37,,
43,,
50,,
44,,
43,,
39,,
35,,
33,,
29,,
29,,
38,,
27,,
36,,
33,,
30,,
80,,
44,,
79,,
38,,
32,,
41,,
52,,
57,,
74,,
63,,
45,,
30,,
50,,
55,,
45,,
23,,
32,,
50,,
38,,
27,,
36,,
40,,
35,,
42,,
37,,
47,,
15,,
39,,
23,,
19,,
26,,
31,,
33,,
88,,
58,,
50,,
37,,
68,,
42,,
63,,
77,,
48,,
46,,
44,,
62,,
33,,
68,,
56,,
65,,
47,,
40,,
56,,
64,,
51,,
50,,
70,,
87,,
64,,
91,,
90,,
38,,
72,,
53,,
46,,
53,,
50,,
112,,
88,,
100,,
64,,
43,,
59,,
62,,
54,,
39,,
48,,
70,,
30,,
53,,
43,,
39,,
61,,
78,,
63,,
72,,
70,,
72,,
76,,
87,,
69,,
60,,
39,,
77,,
73,,
52,,
52,,
87,,
70,,
88,,
73,,
82,,
39,,
74,,
90,,
43,,
60,,
48,,
42,,
30,,
31,,
30,,
54,,
76,,
43,,
51,,
22,,
63,,
33,,
33,,
43,,
37,,
31,,
35,,
37,,
17,,
20,,
16,,
16,,
40,,
59,,
25,,
28,,
30,,
21,,
32,,
21,,
24,,
18,,
15,,
47,,
27,,
34,,
26,,
31,,
21,,
13,,
19,,
22,,
28,,
23,,
27,,
29,,
31,,
33,,
31,,
28,,
31,,
26,,
32,,
31,,
28,,
25,,
23,,
20,,
42,,
40,,
22,,
17,,
15,,
19,,
29,,
31,,
27,,
30,,
17,,
32,,
28,,
58,,
53,,
56,,
44,,
31,,
39,,
35,,
25,,
24,,
29,,
35,,
34,,
31,,
33,,
24,,
37,,
27,,
33,,
19,,
19,,
39,,
27,,
19,,
16,,
40,,
28,,
34,,
20,,
22,,
24,,
28,,
45,,
29,,
25,,
18,,
11,,
30,,
34,,
30,,
19,,
9,,
27,,
39,,
19,,
19,,
15,,
20,,
21,,
25,,
23,,
11,,
21,,
14,,
44,,
37,,
32,,
46,,
49,,
31,,
71,,
68,,
80,,
51,,
45,,
38,,
48,,
39,,
40,,
49,,
55,,
36,,
50,,
33,,
36,,
63,,
38,,
43,,
39,,
34,,
17,,
28,,
11,,
55,,
,,
24,,
56,,
33,,
25,,
28,,
45,,
46,,
28,,
18,,
16,,
19,,
28,,
33,,
29,,
25,,
42,,
37,,
63,,
39,,
34,,
42,,
67,,
58,,
51,,
40,,
36,,
21,,
14,,
14,,
24,,
32,,
82,,
60,,
53,,
59,,
61,,
105,,
77,,
98,,
45,,
100,,
100,,
65,,
66,,
90,,
90,,
60,,
72,,
132,,
131,,
71,,
76,,
73,,
43,,
49,,
80,,
86,,
108,,
72,,
53,,
63,,
70,,
105,,
56,,
49,,
19,,
26,,
15,,
49,,
60,,
21,,
44,,
56,,
43,,
85,,
62,,
58,,
40,,
27,,
37,,
42,,
37,,
55,,
50,,
66,,
69,,
45,,
34,,
34,,
72,,
68,,
25,,
15,,
48,,
39,,
62,,
40,,
50,,
25,,
39,,
59,,
23,,
11,,
69,,
46,,
64,,
33,,
30,,
26,,
79,,
25,,
16,,
52,,
23,,
33,,
34,,
36,,
70,,
32,,
