tree_number,plot_id,year,
1,1,1999,
2,1,1999,
3,1,1999,
4,1,1999,
5,1,1999,
6,1,1999,
7,1,1999,
8,1,1999,
9,1,1999,
10,1,1999,
11,1,1999,
12,1,1999,
13,1,1999,
14,1,1999,
15,1,1999,
16,1,1999,
17,1,1999,
18,1,1999,
19,1,1999,
20,1,1999,
21,1,1999,
22,1,1999,
23,1,1999,
24,1,1999,
25,1,1999,
26,1,1999,
27,1,1999,
28,1,1999,
29,1,1999,
30,1,1999,
31,1,1999,
32,1,1999,
33,1,1999,
34,1,1999,
35,1,1999,
36,1,1999,
37,1,1999,
38,1,1999,
39,1,1999,
40,1,1999,
41,1,1999,
42,1,1999,
43,1,1999,
44,1,1999,
45,1,1999,
46,1,1999,
47,1,1999,
48,1,1999,
49,1,1999,
50,1,1999,
51,1,1999,
52,1,1999,
53,1,1999,
54,1,1999,
55,1,1999,
56,1,1999,
57,1,1999,
58,1,1999,
59,1,1999,
60,1,1999,
61,1,1999,
1,2,1999,
2,2,1999,
3,2,1999,
4,2,1999,
5,2,1999,
6,2,1999,
7,2,1999,
8,2,1999,
9,2,1999,
10,2,1999,
11,2,1999,
12,2,1999,
13,2,1999,
14,2,1999,
15,2,1999,
16,2,1999,
17,2,1999,
18,2,1999,
19,2,1999,
20,2,1999,
21,2,1999,
22,2,1999,
23,2,1999,
24,2,1999,
25,2,1999,
26,2,1999,
27,2,1999,
28,2,1999,
29,2,1999,
30,2,1999,
31,2,1999,
32,2,1999,
33,2,1999,
34,2,1999,
35,2,1999,
36,2,1999,
37,2,1999,
38,2,1999,
39,2,1999,
40,2,1999,
41,2,1999,
42,2,1999,
43,2,1999,
44,2,1999,
45,2,1999,
46,2,1999,
47,2,1999,
48,2,1999,
49,2,1999,
50,2,1999,
51,2,1999,
52,2,1999,
53,2,1999,
54,2,1999,
55,2,1999,
56,2,1999,
57,2,1999,
58,2,1999,
1,3,1999,
2,3,1999,
3,3,1999,
4,3,1999,
5,3,1999,
6,3,1999,
7,3,1999,
8,3,1999,
1,4,1999,
2,4,1999,
3,4,1999,
4,4,1999,
5,4,1999,
6,4,1999,
7,4,1999,
8,4,1999,
9,4,1999,
10,4,1999,
11,4,1999,
12,4,1999,
13,4,1999,
14,4,1999,
15,4,1999,
1,5,1999,
2,5,1999,
3,5,1999,
4,5,1999,
5,5,1999,
6,5,1999,
7,5,1999,
8,5,1999,
9,5,1999,
10,5,1999,
11,5,1999,
12,5,1999,
13,5,1999,
14,5,1999,
15,5,1999,
16,5,1999,
17,5,1999,
18,5,1999,
19,5,1999,
20,5,1999,
21,5,1999,
22,5,1999,
23,5,1999,
24,5,1999,
25,5,1999,
26,5,1999,
27,5,1999,
28,5,1999,
29,5,1999,
30,5,1999,
31,5,1999,
32,5,1999,
33,5,1999,
34,5,1999,
35,5,1999,
36,5,1999,
37,5,1999,
38,5,1999,
39,5,1999,
40,5,1999,
41,5,1999,
42,5,1999,
43,5,1999,
44,5,1999,
45,5,1999,
46,5,1999,
47,5,1999,
48,5,1999,
49,5,1999,
50,5,1999,
51,5,1999,
52,5,1999,
53,5,1999,
54,5,1999,
55,5,1999,
56,5,1999,
57,5,1999,
58,5,1999,
59,5,1999,
60,5,1999,
61,5,1999,
62,5,1999,
63,5,1999,
64,5,1999,
65,5,1999,
66,5,1999,
67,5,1999,
68,5,1999,
69,5,1999,
70,5,1999,
71,5,1999,
72,5,1999,
73,5,1999,
74,5,1999,
75,5,1999,
76,5,1999,
77,5,1999,
78,5,1999,
79,5,1999,
80,5,1999,
81,5,1999,
82,5,1999,
83,5,1999,
