Plot,Year,Tree,Browsed,SummerBrowse,New,Height,CAG,DBH,Laser
1,1999,1,1,,0,73,,,
1,1999,2,1,,0,34,,,
1,1999,3,1,,0,55,,,
1,1999,4,1,,0,18,,,
1,1999,5,1,,0,41,,,
1,1999,6,1,,0,21,,,
1,1999,7,1,,0,37,,,
1,1999,8,1,,0,44,,,
1,1999,9,1,,0,34,,,
1,1999,10,1,,0,39,,,
1,1999,11,1,,0,47,,,
1,1999,12,1,,0,19,,,
1,1999,13,1,,0,44,,,
1,1999,14,1,,0,45,,,
1,1999,15,1,,0,46,,,
1,1999,16,1,,0,51,,,
1,1999,17,1,,0,52,,,
1,1999,18,1,,0,52,,,
1,1999,19,1,,0,41,,,
1,1999,20,1,,0,40,,,
1,1999,21,1,,0,66,,,
1,1999,22,1,,0,58,,,
1,1999,23,1,,0,72,,,
1,1999,24,1,,0,55,,,
1,1999,25,1,,0,61,,,
1,1999,26,1,,0,51,,,
1,1999,27,1,,0,55,,,
1,1999,28,1,,0,80,,,
1,1999,29,1,,0,55,,,
1,1999,30,1,,0,62,,,
1,1999,31,1,,0,37,,,
1,1999,32,1,,0,65,,,
1,1999,33,1,,0,43,,,
1,1999,34,1,,0,67,,,
1,1999,35,1,,0,47,,,
1,1999,36,1,,0,41,,,
1,1999,37,0,,0,65,,,
1,1999,38,,,1,32,,,
1,1999,39,,,1,20,,,
1,1999,40,,,1,36,,,
1,1999,41,,,1,41,,,
1,1999,42,,,1,26,,,
1,1999,43,,,1,51,,,
1,1999,44,,,1,34,,,
1,1999,45,,,1,43,,,
1,1999,46,,,1,31,,,
1,1999,47,,,1,19,,,
1,1999,48,,,1,32,,,
1,1999,49,,,1,25,,,
1,1999,50,,,1,43,,,
1,1999,51,,,1,39,,,
1,1999,52,,,1,29,,,
1,1999,53,,,1,56,,,
1,1999,54,,,1,37,,,
1,1999,55,,,1,32,,,
1,1999,56,,,1,45,,,
1,1999,57,,,1,39,,,
1,1999,58,,,1,19,,,
1,1999,59,,,1,45,,,
1,1999,60,,,1,25,,,
1,1999,61,,,1,15,,,
2,1999,1,1,,0,35,,,
2,1999,2,1,,0,35,,,
2,1999,3,1,,0,32,,,
2,1999,4,1,,0,24,,,
2,1999,5,1,,0,31,,,
2,1999,6,1,,0,25,,,
2,1999,7,1,,0,43,,,
2,1999,8,1,,0,30,,,
2,1999,9,1,,0,37,,,
2,1999,10,1,,0,37,,,
2,1999,11,1,,0,25,,,
2,1999,12,1,,0,38,,,
2,1999,13,1,,0,35,,,
2,1999,14,1,,0,38,,,
2,1999,15,1,,0,43,,,
2,1999,16,1,,0,44,,,
2,1999,17,1,,0,48,,,
2,1999,18,1,,0,34,,,
2,1999,19,1,,0,34,,,
2,1999,20,1,,0,42,,,
2,1999,21,1,,0,41,,,
2,1999,22,1,,0,22,,,
2,1999,23,1,,0,41,,,
2,1999,24,1,,0,31,,,
2,1999,25,1,,0,26,,,
2,1999,26,1,,0,26,,,
2,1999,27,1,,0,25,,,
2,1999,28,1,,0,41,,,
2,1999,29,1,,0,29,,,
2,1999,30,1,,0,20,,,
2,1999,31,1,,0,31,,,
2,1999,32,1,,0,34,,,
2,1999,33,1,,0,35,,,
2,1999,34,1,,0,27,,,
2,1999,35,1,,0,26,,,
2,1999,36,1,,0,15,,,
2,1999,37,1,,0,29,,,
2,1999,38,1,,0,23,,,
2,1999,39,1,,0,18,,,
2,1999,40,1,,0,18,,,
2,1999,41,1,,0,24,,,
2,1999,42,1,,0,23,,,
2,1999,43,1,,0,25,,,
2,1999,44,1,,0,21,,,
2,1999,45,1,,0,34,,,
2,1999,46,1,,0,24,,,
2,1999,47,1,,0,42,,,
2,1999,48,0,,0,48,,,
2,1999,49,,,1,19,,,
2,1999,50,,,1,22,,,
2,1999,51,,,1,32,,,
2,1999,52,,,1,15,,,
2,1999,53,,,1,40,,,
2,1999,54,,,1,36,,,
2,1999,55,,,1,18,,,
2,1999,56,,,1,34,,,
2,1999,57,,,1,38,,,
2,1999,58,,,1,43,,,
3,1999,1,1,,0,44,,,
3,1999,2,1,,0,37,,,
3,1999,3,1,,0,40,,,
3,1999,4,1,,0,66,,,
3,1999,5,1,,0,45,,,
3,1999,6,1,,0,43,,,
3,1999,7,,,1,29,,,
3,1999,8,,,1,76,,,
4,1999,1,1,,0,43,,,
4,1999,2,1,,0,16,,,
4,1999,3,1,,0,49,,,
4,1999,4,1,,0,65,,,
4,1999,5,1,,0,47,,,
4,1999,6,1,,0,52,,,
4,1999,7,1,,0,29,,,
4,1999,8,1,,0,44,,,
4,1999,9,,,1,41,,,
4,1999,10,,,1,36,,,
4,1999,11,,,1,43,,,
4,1999,12,,,1,70,,,
4,1999,13,,,1,29,,,
4,1999,14,,,1,32,,,
4,1999,15,,,1,33,,,
5,1999,1,1,,0,56,,,
5,1999,2,1,,0,22,,,
5,1999,3,1,,0,51,,,
5,1999,4,1,,0,73,,,
5,1999,5,1,,0,37,,,
5,1999,6,1,,0,71,,,
5,1999,7,1,,0,64,,,
5,1999,8,1,,0,33,,,
5,1999,9,1,,0,63,,,
5,1999,10,1,,0,61,,,
5,1999,11,1,,0,66,,,
5,1999,12,1,,0,75,,,
5,1999,13,1,,0,92,,,
5,1999,14,1,,0,106,,,
5,1999,15,1,,0,60,,,
5,1999,16,1,,0,65,,,
5,1999,17,1,,0,55,,,
5,1999,18,1,,0,47,,,
5,1999,19,1,,0,53,,,
5,1999,20,1,,0,76,,,
5,1999,21,1,,0,70,,,
5,1999,22,1,,0,103,,,
5,1999,23,1,,0,60,,,
5,1999,24,1,,0,93,,,
5,1999,25,1,,0,60,,,
5,1999,26,1,,0,95,,,
5,1999,27,1,,0,62,,,
5,1999,28,1,,0,90,,,
5,1999,29,1,,0,56,,,
5,1999,30,1,,0,73,,,
5,1999,31,1,,0,74,,,
5,1999,32,1,,0,81,,,
5,1999,33,1,,0,106,,,
5,1999,34,1,,0,92,,,
5,1999,35,1,,0,52,,,
5,1999,36,1,,0,90,,,
5,1999,37,1,,0,100,,,
5,1999,38,1,,0,103,,,
5,1999,39,1,,0,76,,,
5,1999,40,1,,0,105,,,
5,1999,41,1,,0,99,,,
5,1999,42,1,,0,100,,,
5,1999,43,1,,0,104,,,
5,1999,44,1,,0,102,,,
5,1999,45,1,,0,90,,,
5,1999,46,1,,0,112,,,
5,1999,47,1,,0,81,,,
5,1999,48,1,,0,75,,,
5,1999,49,1,,0,60,,,
5,1999,50,1,,0,99,,,
5,1999,51,1,,0,122,,,
5,1999,52,1,,0,126,,,
5,1999,53,1,,0,154,,,
5,1999,54,1,,0,123,,,
5,1999,55,1,,0,129,,,
5,1999,56,1,,0,147,,,
5,1999,57,1,,0,127,,,
5,1999,58,1,,0,64,,,
5,1999,59,1,,0,117,,,
5,1999,60,1,,0,130,,,
5,1999,61,1,,0,95,,,
5,1999,62,1,,0,119,,,
5,1999,63,1,,0,100,,,
5,1999,64,1,,0,107,,,
5,1999,65,1,,0,55,,,
5,1999,66,1,,0,112,,,
5,1999,67,1,,0,74,,,
5,1999,68,1,,0,109,,,
5,1999,69,1,,0,108,,,
5,1999,70,1,,0,55,,,
5,1999,71,1,,0,68,,,
5,1999,72,1,,0,38,,,
5,1999,73,1,,0,59,,,
5,1999,74,0,,0,54,,,
5,1999,75,0,,0,26,,,
5,1999,76,0,,0,32,,,
5,1999,77,0,,0,47,,,
5,1999,78,0,,0,130,,,
5,1999,79,0,,0,80,,,
5,1999,80,0,,0,118,,,
5,1999,81,,,1,42,,,
5,1999,82,,,1,40,,,
5,1999,83,,,1,60,,,
5,1999,84,,,1,51,,,
5,1999,85,,,1,29,,,
6,1999,1,1,,0,22,,,
6,1999,2,1,,0,20,,,
6,1999,3,1,,0,44,,,
6,1999,4,1,,0,41,,,
6,1999,5,1,,0,24,,,
6,1999,6,1,,0,34,,,
6,1999,7,1,,0,25,,,
6,1999,8,1,,0,21,,,
6,1999,9,1,,0,53,,,
6,1999,10,1,,0,37,,,
6,1999,11,1,,0,35,,,
6,1999,12,1,,0,51,,,
6,1999,13,1,,0,40,,,
6,1999,14,1,,0,36,,,
6,1999,15,1,,0,46,,,
6,1999,16,1,,0,41,,,
6,1999,17,1,,0,65,,,
6,1999,18,1,,0,34,,,
6,1999,19,1,,0,23,,,
6,1999,20,1,,0,67,,,
6,1999,21,0,,0,36,,,
6,1999,22,0,,0,40,,,
6,1999,23,0,,0,22,,,
6,1999,24,0,,0,52,,,
6,1999,25,0,,0,25,,,
6,1999,26,0,,0,19,,,
6,1999,27,0,,0,24,,,
6,1999,28,0,,0,44,,,
6,1999,29,0,,0,32,,,
6,1999,30,,,1,48,,,
6,1999,31,,,1,35,,,
6,1999,32,,,1,21,,,
6,1999,33,,,1,24,,,
6,1999,34,,,1,17,,,
6,1999,35,,,1,30,,,
6,1999,36,,,1,23,,,
6,1999,37,,,1,38,,,
6,1999,38,,,1,24,,,
6,1999,39,,,1,13,,,
6,1999,40,,,1,36,,,
6,1999,41,,,1,35,,,
6,1999,42,,,1,15,,,
6,1999,43,,,1,37,,,
6,1999,44,,,1,18,,,
6,1999,45,,,1,11,,,
6,1999,46,,,1,18,,,
6,1999,47,,,1,18,,,
6,1999,48,,,1,22,,,
6,1999,49,,,1,44,,,
7,1999,1,1,,0,43,,,
7,1999,2,1,,0,34,,,
7,1999,3,1,,0,22,,,
7,1999,4,,,1,26,,,
8,1999,1,1,,0,45,,,
8,1999,2,1,,0,29,,,
8,1999,3,0,,0,64,,,
8,1999,4,,,1,37,,,
9,1999,0,,,,,,,
10,1999,1,1,,0,36,,,
10,1999,2,1,,0,32,,,
10,1999,3,1,,0,44,,,
10,1999,4,1,,0,61,,,
10,1999,5,1,,0,65,,,
10,1999,6,1,,0,58,,,
10,1999,7,1,,0,60,,,
10,1999,8,1,,0,58,,,
10,1999,9,1,,0,34,,,
10,1999,10,1,,0,40,,,
10,1999,11,1,,0,52,,,
10,1999,12,1,,0,29,,,
10,1999,13,1,,0,29,,,
10,1999,14,1,,0,72,,,
10,1999,15,1,,0,36,,,
10,1999,16,1,,0,25,,,
10,1999,17,1,,0,17,,,
10,1999,18,1,,0,36,,,
10,1999,19,1,,0,58,,,
10,1999,20,1,,0,19,,,
10,1999,21,1,,0,18,,,
10,1999,22,1,,0,29,,,
10,1999,23,1,,0,26,,,
10,1999,24,1,,0,40,,,
10,1999,25,1,,0,29,,,
10,1999,26,1,,0,26,,,
10,1999,27,1,,0,49,,,
10,1999,28,0,,0,27,,,
10,1999,29,0,,0,29,,,
10,1999,30,0,,0,45,,,
10,1999,31,,,1,34,,,
10,1999,32,,,1,55,,,
10,1999,33,,,1,23,,,
10,1999,34,,,1,24,,,
10,1999,35,,,1,55,,,
10,1999,36,,,1,18,,,
10,1999,37,,,1,19,,,
10,1999,38,,,1,10,,,
10,1999,39,,,1,14,,,
10,1999,40,,,1,49,,,
10,1999,41,,,1,21,,,
10,1999,42,,,1,22,,,
10,1999,43,,,1,48,,,
10,1999,44,,,1,20,,,
10,1999,45,,,1,24,,,
10,1999,46,,,1,18,,,
11,1999,1,1,,0,73,,,
11,1999,2,1,,0,47,,,
11,1999,3,1,,0,56,,,
11,1999,4,1,,0,27,,,
11,1999,5,1,,0,59,,,
11,1999,6,1,,0,80,,,
11,1999,7,1,,0,41,,,
11,1999,8,1,,0,44,,,
11,1999,9,1,,0,31,,,
11,1999,10,1,,0,28,,,
11,1999,11,1,,0,39,,,
11,1999,12,1,,0,37,,,
11,1999,13,1,,0,61,,,
11,1999,14,1,,0,29,,,
11,1999,15,1,,0,83,,,
11,1999,16,1,,0,49,,,
11,1999,17,1,,0,65,,,
11,1999,18,1,,0,48,,,
11,1999,19,1,,0,41,,,
11,1999,20,1,,0,30,,,
11,1999,21,1,,0,55,,,
11,1999,22,1,,0,55,,,
11,1999,23,1,,0,56,,,
11,1999,24,1,,0,72,,,
11,1999,25,1,,0,46,,,
